,((207175_at*229554_at)_negative-(226997_at_ln*223121_s_at)),((223122_s_at_sigmoid/201744_s_at)_zscore-210809_s_at),((204589_at_radian*(203325_s_at*221729_at))_recip+((207175_at*229554_at)_negative-(226997_at_ln*223121_s_at))),((((201125_s_at*207175_at)/201744_s_at_recip)-207175_at_zscore)/(209613_s_at_recip-215076_s_at)),((207175_at*229554_at)_negative-(226997_at_ln*223121_s_at))_abs
0,-83245.63,-583.09564,-83245.63,-65211.625,83245.63
1,-22661.627,-2343.1562,-22661.627,-89582.695,22661.627
2,-284038.3,-44058.414,-284038.3,-143866.58,284038.3
3,-180824.78,-15187.411,-180824.78,-265894.66,180824.78
4,-3951.2847,-1643.3044,-3951.2847,-8480.159,3951.2847
5,-42687.52,-228.473,-42687.52,-18330.766,42687.52
6,-4932.2104,-419.07486,-4932.2104,-7793.7666,4932.2104
7,-24709.383,-634.9028,-24709.383,-66361.32,24709.383
8,-21963.773,-2897.4067,-21963.773,-40370.707,21963.773
9,-85574.72,-6081.0605,-85574.72,-79720.75,85574.72
10,-94904.31,-14084.608,-94904.31,-212455.0,94904.31
11,-20189.377,-943.69464,-20189.377,-39843.504,20189.377
12,-128373.13,-12097.51,-128373.13,-204981.77,128373.13
13,-50899.14,-192.56104,-50899.14,-78354.875,50899.14
14,-15427.357,-710.99554,-15427.357,-44290.926,15427.357
15,-599111.8,-30472.21,-599111.8,-813143.9,599111.8
16,-1516103.9,-30109.012,-1516103.9,-3901814.5,1516103.9
17,-7123.0386,-371.59113,-7123.0386,-42061.13,7123.0386
18,-24491.125,-1695.6064,-24491.125,-37761.43,24491.125
19,-7973.8047,-455.0807,-7973.8047,-38802.367,7973.8047
20,-2111258.5,-20429.81,-2111258.5,-2269194.8,2111258.5
21,-209830.23,-10572.308,-209830.23,-614396.2,209830.23
22,-38166.535,-7652.81,-38166.535,-97256.58,38166.535
23,-10384916.0,-17124.412,-10384916.0,-13867263.0,10384916.0
24,-3940219.0,-23128.81,-3940219.0,-4276300.0,3940219.0
25,-825061.94,-16000.509,-825061.94,-1923513.4,825061.94
26,-4327427.5,-4159.012,-4327427.5,-3821762.8,4327427.5
27,-556009.1,-9087.608,-556009.1,-1060919.4,556009.1
28,-27095.75,-671.0997,-27095.75,-7922.802,27095.75
29,-17646.889,-323.6968,-17646.889,-165332.56,17646.889
30,-19467.422,-248.66591,-19467.422,-28961.244,19467.422
31,-28411.365,-1892.8947,-28411.365,-31644.416,28411.365
32,-10155.1455,-686.60846,-10155.1455,-24104.762,10155.1455
33,-25025.51,-1042.8868,-25025.51,-63213.01,25025.51
34,-188890.78,-16777.512,-188890.78,-539642.5,188890.78
35,-4883.703,-2043.258,-4883.703,-21077.344,4883.703
36,-7504.364,-61.87423,-7504.364,-175649.8,7504.364
37,-93350.98,-2130.0986,-93350.98,-64162.934,93350.98
38,-20109.562,-13247.809,-20109.562,-60555.45,20109.562
39,-71833.58,-13112.109,-71833.58,-115467.91,71833.58
40,-9732.691,-153.29416,-9732.691,-126943.336,9732.691
41,-17574.174,-129.68799,-17574.174,-34714.676,17574.174
42,-25335.154,-18606.709,-25335.154,-43154.49,25335.154
43,-48646.547,-8397.904,-48646.547,-81917.03,48646.547
44,-5657.3135,-628.28577,-5657.3135,-71839.5,5657.3135
45,-23037.625,-7775.805,-23037.625,-60387.75,23037.625
46,-36704.85,-4370.4844,-36704.85,-69448.27,36704.85
47,-28685.229,-149.96677,-28685.229,-75609.61,28685.229
48,-42027.086,-11238.405,-42027.086,-212061.4,42027.086
49,-661153.0,-14534.41,-661153.0,-1720577.0,661153.0
50,-4853.3745,-1627.1602,-4853.3745,-8384.444,4853.3745
51,-271519.44,-20439.61,-271519.44,-260775.25,271519.44
52,-84032.54,-8249.708,-84032.54,-92262.28,84032.54
53,-38816.54,-5469.402,-38816.54,-403835.56,38816.54
54,-20473.627,-11527.009,-20473.627,-24887.152,20473.627
55,-1034986.2,-33610.715,-1034986.2,-1311987.6,1034986.2
56,-1892.7499,-776.57434,-1892.7499,-157.42409,1892.7499
57,-33690.273,-195.80188,-33690.273,-282961.16,33690.273
58,-9533.57,-1414.0895,-9533.57,-22983.023,9533.57
59,-14609.119,-100.57437,-14609.119,-53257.76,14609.119
60,-18169.035,-247.02298,-18169.035,-21457.148,18169.035
61,-49452.895,-2183.8076,-49452.895,-53794.906,49452.895
62,-21571.045,-1427.0978,-21571.045,-61538.59,21571.045
63,-62144.125,-1352.6875,-62144.125,-53100.85,62144.125
64,-165718.55,-14431.005,-165718.55,-285097.2,165718.55
65,-68219.47,-16231.507,-68219.47,-82852.42,68219.47
66,-48512.85,-120.39485,-48512.85,-79120.8,48512.85
67,-41583.844,-4545.2036,-41583.844,-125065.766,41583.844
68,-24825.793,-337.98932,-24825.793,-90052.484,24825.793
69,-113041.414,-585.78204,-113041.414,-114128.29,113041.414
70,-8314.33,-1274.1809,-8314.33,-20290.22,8314.33
71,-2353.594,-57.087193,-2353.594,-8021.3794,2353.594
72,-656.6616,-194.65512,-656.6616,-973.5797,656.6616
73,-23581.4,-1591.7902,-23581.4,-78800.84,23581.4
74,-97392.586,-908.5093,-97392.586,-450983.6,97392.586
75,-30927.361,-2076.102,-30927.361,-51113.367,30927.361
76,-987253.25,-23554.506,-987253.25,-983658.06,987253.25
77,-22864154.0,-9975.311,-22864154.0,-14638998.0,22864154.0
78,-300332.38,-12357.512,-300332.38,-760027.2,300332.38
79,-192259.6,-10228.911,-192259.6,-307083.94,192259.6
80,-5121122.5,-25729.012,-5121122.5,-3537191.2,5121122.5
81,-262391.53,-15884.212,-262391.53,-275276.5,262391.53
82,-71127.63,-13780.407,-71127.63,-86800.8,71127.63
83,-154824.53,-17699.912,-154824.53,-284121.03,154824.53
84,-136397.47,-13284.207,-136397.47,-57253.523,136397.47
85,-4513.508,-128.40266,-4513.508,-5810.3135,4513.508
86,-4858229.0,-10640.411,-4858229.0,-10762943.0,4858229.0
87,-43388.258,-223.69402,-43388.258,-60790.227,43388.258
88,-101330.016,-19823.111,-101330.016,-103333.805,101330.016
89,-10987.268,-3413.9014,-10987.268,-43573.582,10987.268
90,-8784.146,-704.3308,-8784.146,-60633.03,8784.146
91,-27858.648,-1329.9508,-27858.648,-41884.73,27858.648
92,-98527.195,-8290.809,-98527.195,-122997.03,98527.195
93,-168477.72,-31021.71,-168477.72,-241676.94,168477.72
94,-43590.9,-18241.709,-43590.9,-61242.1,43590.9
95,-24851.355,-2288.1035,-24851.355,-65901.01,24851.355
96,-20810.93,-809.9755,-20810.93,-76499.91,20810.93
97,-18168.365,-497.59915,-18168.365,-45599.25,18168.365
98,-1596.3872,-86.80989,-1596.3872,-10488.656,1596.3872
99,-13519.975,-104.08503,-13519.975,-9516.083,13519.975
100,-26093.256,-9955.202,-26093.256,-37928.562,26093.256
101,-29127.65,-809.98535,-29127.65,-135656.39,29127.65
102,-11432.914,-262.73828,-11432.914,-2888.2556,11432.914
103,-5186.8164,-148.99461,-5186.8164,-9335.119,5186.8164
104,-21268.445,-3000.8892,-21268.445,-40808.56,21268.445
105,-6957087.5,-30194.012,-6957087.5,-7846709.5,6957087.5
106,-816455.4,-11521.906,-816455.4,-840127.06,816455.4
107,-362657.2,-32596.512,-362657.2,-1270282.5,362657.2
108,-674120.1,-32016.512,-674120.1,-1791308.6,674120.1
109,-56939.906,-3033.4001,-56939.906,-112101.086,56939.906
110,-277737.66,-4927.209,-277737.66,-584279.44,277737.66
111,-2239678.0,-25077.31,-2239678.0,-2152098.0,2239678.0
112,-46204.086,-1748.2987,-46204.086,-99819.54,46204.086
113,-7358.3955,-52.500355,-7358.3955,-22764.094,7358.3955
114,-46799.32,-3256.0068,-46799.32,-188595.81,46799.32
115,-19691.447,-726.89545,-19691.447,-28836.217,19691.447
116,-35511.785,-311.8368,-35511.785,-30513.383,35511.785
117,-91577.51,-15479.41,-91577.51,-250257.1,91577.51
118,-68478.75,-5712.409,-68478.75,-105494.17,68478.75
119,-2704.7065,-650.8066,-2704.7065,-8096.7017,2704.7065
120,-814412.0,-28254.21,-814412.0,-1640781.2,814412.0
121,-52013.477,-11337.311,-52013.477,-174131.48,52013.477
122,-37779.74,-2352.4055,-37779.74,-51834.24,37779.74
123,-4565.999,-1449.4756,-4565.999,-26641.48,4565.999
124,-20774.64,-121.32562,-20774.64,-35174.008,20774.64
125,-415.5697,-92.89584,-415.5697,-1201.096,415.5697
126,-405489.72,-49177.812,-405489.72,-333643.78,405489.72
127,-114850.89,-6550.106,-114850.89,-280057.06,114850.89
128,-299074.25,-46471.51,-299074.25,-449125.06,299074.25
129,-60968.32,-502.96762,-60968.32,-145758.22,60968.32
130,-29410.424,-111.41756,-29410.424,-49993.473,29410.424
131,-52832.14,-3235.7078,-52832.14,-43384.543,52832.14
132,-4315657.0,-44084.812,-4315657.0,-3574383.2,4315657.0
133,-329919.4,-9834.308,-329919.4,-608408.2,329919.4
134,-890430.2,-9381.507,-890430.2,-1461135.5,890430.2
135,-370391.3,-19323.71,-370391.3,-553295.44,370391.3
136,-1160465.6,-22244.01,-1160465.6,-3736998.0,1160465.6
137,-201116.55,-19395.209,-201116.55,-323919.1,201116.55
138,-19825.867,-12358.207,-19825.867,-49068.168,19825.867
139,-19295.398,-3300.5034,-19295.398,-89413.64,19295.398
140,-11104.045,-1600.379,-11104.045,-49929.387,11104.045
141,-82598.64,-4734.51,-82598.64,-129867.8,82598.64
142,-6121.2534,-302.8778,-6121.2534,-4441.901,6121.2534
143,-38671.445,-1456.2053,-38671.445,-61832.215,38671.445
144,-35863.03,-2595.695,-35863.03,-7395.8135,35863.03
145,-39029.58,-12829.107,-39029.58,-115530.695,39029.58
146,-69451.68,-16908.01,-69451.68,-94969.375,69451.68
147,-4025.137,-298.54926,-4025.137,-8389.828,4025.137
148,-119475.39,-22585.709,-119475.39,-230453.81,119475.39
149,-8964.291,-1224.2938,-8964.291,-36514.324,8964.291
150,-602930.0,-20930.412,-602930.0,-1259155.6,602930.0
151,-9167.17,-328.85757,-9167.17,-35674.473,9167.17
152,-15499.81,-1307.2732,-15499.81,-38278.254,15499.81
153,-3419.9734,-268.95828,-3419.9734,-896.95734,3419.9734
154,-31764.379,-5051.994,-31764.379,-59920.32,31764.379
155,-8474.927,-5450.3774,-8474.927,-23461.982,8474.927
156,-17837.54,-15879.7,-17837.54,-17404.965,17837.54
157,-45909.547,-546.7083,-45909.547,-147866.52,45909.547
158,-1820.6257,-4911.8994,-1820.6257,-980.05347,1820.6257
159,-24036.857,-942.498,-24036.857,-31524.023,24036.857
160,-33055.766,-4348.1987,-33055.766,-42544.617,33055.766
161,-298309.66,-12868.709,-298309.66,-471134.75,298309.66
162,-328299.16,-17239.209,-328299.16,-1376333.4,328299.16
163,-4786027.0,-22420.912,-4786027.0,-13042986.0,4786027.0
164,-6482778.0,-8177.4087,-6482778.0,-6423553.5,6482778.0
165,-146766.97,-13239.709,-146766.97,-919599.56,146766.97
166,-13782.373,-11547.609,-13782.373,-34401.594,13782.373
167,-16704.084,-198.44803,-16704.084,-18391.576,16704.084
168,-77736.66,-6669.5083,-77736.66,-85411.91,77736.66
169,-10740.392,-532.9945,-10740.392,-53453.65,10740.392
170,-103721.91,-12475.31,-103721.91,-290802.3,103721.91
171,-99272.48,-11482.51,-99272.48,-98512.984,99272.48
172,-14434.938,-181.93056,-14434.938,-60583.066,14434.938
173,-11966.154,-165.18604,-11966.154,-172470.95,11966.154
174,-1781.3276,-1064.7998,-1781.3276,-6321.0186,1781.3276
175,-54926.637,-2847.6042,-54926.637,-143357.23,54926.637
176,-12108.066,-205.096,-12108.066,-46762.254,12108.066
177,-5383.5146,-1208.497,-5383.5146,-16468.074,5383.5146
178,-175492.33,-2493.903,-175492.33,-780085.9,175492.33
179,-13528.788,-327.9563,-13528.788,-45354.797,13528.788
180,-26295.572,-9717.407,-26295.572,-136553.72,26295.572
181,-47018.44,-214.37735,-47018.44,-147292.72,47018.44
182,-7315.358,-1454.5906,-7315.358,-9553.943,7315.358
183,-25556.27,-925.60333,-25556.27,-26072.21,25556.27
184,-32400.682,-1107.9891,-32400.682,-54585.723,32400.682
185,-36031.99,-4589.7007,-36031.99,-58649.45,36031.99
186,-110631.09,-3481.0073,-110631.09,-469881.16,110631.09
187,-23537.771,-281.09836,-23537.771,-338621.8,23537.771
188,-157627.64,-17475.709,-157627.64,-224935.16,157627.64
189,-5061277.0,-16350.41,-5061277.0,-8894439.0,5061277.0
190,-18458838.0,-11189.613,-18458838.0,-27267498.0,18458838.0
191,-4583.1846,-2318.6843,-4583.1846,-19368.496,4583.1846
192,-23902852.0,-28571.014,-23902852.0,-41295904.0,23902852.0
193,-1256570.8,-12103.207,-1256570.8,-1796622.4,1256570.8
194,-22072.432,-2519.4888,-22072.432,-90061.47,22072.432
195,-8753.344,-568.0504,-8753.344,-20577.36,8753.344
196,-13119.945,-4016.6924,-13119.945,-17273.05,13119.945
197,-670793.6,-16801.21,-670793.6,-1561607.2,670793.6
198,-6055.6885,-637.65643,-6055.6885,-26415.5,6055.6885
199,-215565.03,-35425.215,-215565.03,-260250.22,215565.03
200,-127645.86,-19024.912,-127645.86,-241934.83,127645.86
201,-4976.3623,-671.88513,-4976.3623,-14571.146,4976.3623
202,-57474.19,-786.5994,-57474.19,-29308.76,57474.19
203,-7164.7363,-115.13537,-7164.7363,-20282.129,7164.7363
204,-3959278.5,-14041.211,-3959278.5,-5147124.0,3959278.5
205,-4203.2207,-402.8313,-4203.2207,-4283.478,4203.2207
206,-27823.127,-132.10231,-27823.127,-86765.19,27823.127
207,-75185.73,-308.7057,-75185.73,-274085.3,75185.73
208,-32030.67,-7425.806,-32030.67,-48306.812,32030.67
209,-3392.155,-433.8895,-3392.155,-919.4464,3392.155
210,-63071.72,-12328.295,-63071.72,-35972.406,63071.72
211,-61867.902,-675.50574,-61867.902,-196788.83,61867.902
212,-39453.027,-1330.6024,-39453.027,-111599.71,39453.027
213,-11997.879,-169.9777,-11997.879,-5750.5625,11997.879
214,-48999.906,-3254.2961,-48999.906,-125294.266,48999.906
215,-1450968.4,-9967.71,-1450968.4,-1266400.5,1450968.4
216,-565960.06,-38990.215,-565960.06,-482146.2,565960.06
217,-23691.016,-5451.6,-23691.016,-61167.39,23691.016
218,-449500.9,-15082.21,-449500.9,-1079636.9,449500.9
219,-1266975.2,-13438.211,-1266975.2,-2338957.8,1266975.2
220,-21290.314,-4023.9954,-21290.314,-34556.63,21290.314
221,-15357.047,-107.14949,-15357.047,-41847.258,15357.047
222,-11441.281,-712.11365,-11441.281,-122863.2,11441.281
223,-63597.008,-15575.91,-63597.008,-94126.516,63597.008
224,-29663.418,-890.4886,-29663.418,-78343.28,29663.418
225,-5094.5986,-194.73491,-5094.5986,-3982.6343,5094.5986
226,-35000.76,-728.20776,-35000.76,-168599.86,35000.76
227,-17443.018,-1971.309,-17443.018,-194844.36,17443.018
228,-13110.426,-451.49915,-13110.426,-45213.613,13110.426
229,-64602.402,-6958.6006,-64602.402,-63315.51,64602.402
230,-33638.18,-18756.51,-33638.18,-28051.092,33638.18
231,-24146.527,-2617.1985,-24146.527,-88210.055,24146.527
232,-25477.73,-1289.008,-25477.73,-174028.88,25477.73
233,-23216.559,-6936.201,-23216.559,-77870.74,23216.559
234,-32759.902,-5839.61,-32759.902,-37394.383,32759.902
235,-5009.0654,-565.34955,-5009.0654,-337.6526,5009.0654
236,-21360.898,-5752.6914,-21360.898,-53953.836,21360.898
237,-11596.621,-355.7582,-11596.621,-42416.43,11596.621
238,-27662.873,-325.4956,-27662.873,-71960.84,27662.873
239,-8097.293,-118.87985,-8097.293,-47542.145,8097.293
240,-2223118.5,-26421.71,-2223118.5,-2468836.8,2223118.5
241,-13205.109,-21757.9,-13205.109,-20659.037,13205.109
242,-87874.17,-25482.111,-87874.17,-123266.445,87874.17
243,-380381.47,-27560.31,-380381.47,-878059.94,380381.47
244,-5874694.0,-20491.611,-5874694.0,-8468583.0,5874694.0
245,-5883493.0,-11719.509,-5883493.0,-9555199.0,5883493.0
246,-3378280.8,-5141.1074,-3378280.8,-24787028.0,3378280.8
247,-17282.17,-2883.187,-17282.17,-70640.625,17282.17
248,-41734.082,-10754.51,-41734.082,-5822.1753,41734.082
249,-62548.48,-673.6511,-62548.48,-40599.82,62548.48
250,-70462.38,-112.11599,-70462.38,-116114.56,70462.38
251,-46210.68,-297.39386,-46210.68,-80885.01,46210.68
252,-76630.234,-183.30267,-76630.234,-110604.086,76630.234
253,-22537.535,-352.7282,-22537.535,-14110.946,22537.535
254,-37462.688,-2674.101,-37462.688,-193712.34,37462.688
255,-116452.555,-6150.9976,-116452.555,-247138.19,116452.555
256,-123594.68,-23270.91,-123594.68,-48359.406,123594.68
257,-6232.983,-67.35625,-6232.983,-45042.332,6232.983
258,-865.24194,-1819.6528,-865.24194,-1553.8799,865.24194
259,-2046.7402,-145.75258,-2046.7402,-15347.166,2046.7402
260,-8543.365,-93.36695,-8543.365,-2217.789,8543.365
261,-24884.346,-698.4781,-24884.346,-9621.135,24884.346
262,-23967.115,-1727.458,-23967.115,-1827.4767,23967.115
263,-93881.56,-12522.41,-93881.56,-170865.95,93881.56
264,-16495.928,-594.8015,-16495.928,-137942.25,16495.928
265,-27469.76,-273.45514,-27469.76,-91702.35,27469.76
266,-18788.09,-543.81335,-18788.09,-96088.75,18788.09
267,-93401.98,-2068.0955,-93401.98,-151823.8,93401.98
268,-10556.494,-3374.087,-10556.494,-33872.48,10556.494
269,-9791555.0,-20683.012,-9791555.0,-11327108.0,9791555.0
270,-2760690.0,-25816.512,-2760690.0,-3270567.8,2760690.0
271,-3268256.0,-4950.908,-3268256.0,-5587798.5,3268256.0
272,-7128769.0,-17862.61,-7128769.0,-5297262.0,7128769.0
273,-244891.47,-21579.611,-244891.47,-423475.6,244891.47
274,-208717.12,-13931.106,-208717.12,-358687.5,208717.12
