,((F7S+F10S)_square*((F17R*F20S)/(F7S+F10S))),((F3S*F16S)_square*(F12S*F20S))
0,540020.0,109439660000.0
1,629114.0,190008800000.0
2,458700.0,48959650000.0
3,606484.0,123840545000.0
4,582400.0,80311870000.0
5,635481.0,163936620000.0
6,604044.0,126043490000.0
7,437030.0,76220350000.0
8,639900.0,147406620000.0
9,466320.03,75727750000.0
10,621224.0,87480860000.0
11,626775.0,129369000000.0
12,500499.97,124738085000.0
13,605948.0,85025900000.0
14,518134.0,102944720000.0
15,421080.0,46903583000.0
16,297352.0,26792165000.0
17,679849.0,103836140000.0
18,541561.0,109788210000.0
19,585466.0,172887870000.0
20,538200.0,89060120000.0
21,673920.0,114050400000.0
22,525280.0,73285630000.0
23,139080.0,88694920000.0
24,291276.0,26647920000.0
25,579215.0,95651960000.0
26,530334.0,111545030000.0
27,577138.0,122067170000.0
28,537372.0,141446770000.0
29,380016.0,75689620000.0
30,436020.0,72749490000.0
31,364425.0,45994760000.0
32,551152.0,74768690000.0
33,445788.0,69373450000.0
34,595725.0,132492255000.0
35,475800.0,112363200000.0
36,625936.0,135001130000.0
37,377496.0,38734676000.0
38,561600.0,161112130000.0
39,570304.0,103692485000.0
40,589016.0,100708100000.0
41,749133.0,174249970000.0
42,592950.0,103970240000.0
43,620865.0,161280360000.0
44,718200.0,170377560000.0
45,565810.0,131497550000.0
46,659192.0,127157854000.0
47,599027.0,110760920000.0
48,689850.0,169361280000.0
49,687420.0,176620100000.0
50,683019.94,156515930000.0
51,672750.0,172678530000.0
52,678546.0,108912530000.0
53,673400.0,147350910000.0
54,603216.0,142239090000.0
55,607316.0,189572240000.0
56,572180.0,137238160000.0
57,632346.0,116758890000.0
58,616308.0,146451630000.0
59,697320.0,144224400000.0
60,716100.0,140494440000.0
61,615846.0,136585710000.0
62,622224.0,109732995000.0
63,616280.0,151162320000.0
64,623152.0,148383170000.0
65,641592.0,187393590000.0
66,619972.0,126693286000.0
67,659880.0,155161970000.0
68,625968.0,146517520000.0
69,632940.06,153395090000.0
70,549120.06,94420160000.0
71,715715.0,184568890000.0
72,696320.0,139383650000.0
73,613440.0,128808665000.0
74,722357.94,169840130000.0
75,658880.0,144953950000.0
76,476000.0,107784770000.0
77,609600.0,164380340000.0
78,666225.0,153790730000.0
79,618930.0,134894000000.0
80,708246.0,135806770000.0
81,604032.0,78330070000.0
82,514188.0,111729980000.0
83,553392.0,90275630000.0
84,532170.0,80858350000.0
85,590436.0,117407630000.0
86,431145.0,69229460000.0
87,419432.0,46758290000.0
88,107616.0,30883064000.0
89,621595.0,137565900000.0
90,418900.0,59899064000.0
91,320264.0,39200735000.0
92,590940.0,116657880000.0
93,144088.0,7947943000.0
94,447300.03,14828507000.0
95,102960.0,16412348000.0
96,612480.0,105294774000.0
97,485316.0,82125150000.0
98,224352.0,18110420000.0
99,349752.0,72435540000.0
100,504504.03,90720756000.0
101,448756.0,32108530000.0
102,335916.0,50252624000.0
103,592296.0,108564370000.0
104,553420.0,87955510000.0
105,475700.0,46703727000.0
106,600990.0,97501890000.0
107,539484.0,106683880000.0
108,537791.0,100967550000.0
109,635040.0,127338750000.0
110,632808.0,185357700000.0
111,659325.0,150679520000.0
112,304920.0,6761169000.0
113,451360.0,52606830000.0
114,571500.0,114719470000.0
115,746352.06,159443680000.0
116,518016.03,114835320000.0
117,306240.0,26078976000.0
118,97344.01,12896987000.0
119,267696.0,20822063000.0
120,35316.0,2951859500.0
121,659555.0,114475680000.0
122,457443.0,62413160000.0
123,391419.0,9368195000.0
124,476748.0,49237660000.0
125,680400.0,108405580000.0
126,519554.0,87707400000.0
127,460672.0,60966690000.0
128,580293.0,110289340000.0
129,600600.0,106956310000.0
130,471200.0,161295750000.0
131,282240.0,24390373000.0
132,531846.0,92362510000.0
133,505362.0,82897390000.0
134,613824.0,104594760000.0
135,698058.0,164625510000.0
136,313728.0,35053330000.0
137,611594.0,111459975000.0
138,564217.0,112380510000.0
139,626688.06,79230410000.0
140,556512.0,59518860000.0
141,254855.98,21959393000.0
142,560560.0,122050404000.0
143,469452.0,84113600000.0
144,632400.0,132741530000.0
145,412847.97,39053443000.0
146,523136.0,114126320000.0
147,344792.0,60026098000.0
148,544236.0,113689240000.0
149,264616.0,33439290000.0
150,446040.0,49275687000.0
151,578082.0,74128520000.0
152,546560.0,131580290000.0
153,227808.0,9484232000.0
154,656039.94,123632060000.0
155,583570.0,94765466000.0
156,453120.0,44278850000.0
157,500094.0,47355840000.0
158,524480.0,149299200000.0
159,442494.0,71360290000.0
160,496662.0,62645703000.0
161,552951.0,63152103000.0
162,456144.0,16234568000.0
163,539968.0,101447640000.0
164,286000.0,23005762000.0
165,61596.0,738475900.0
166,472758.0,50229154000.0
167,308792.0,25127672000.0
168,523136.0,78768520000.0
169,421083.0,33744613000.0
170,557960.0,145606130000.0
171,351912.0,13412045000.0
172,593164.0,120016230000.0
173,524160.0,71114770000.0
174,558144.0,99092770000.0
175,490100.0,111147614000.0
176,583440.0,116946920000.0
177,365883.0,111303240000.0
178,427584.0,65091453000.0
179,482607.97,56534573000.0
180,628992.0,125619940000.0
181,596400.0,110976926000.0
182,516670.0,80145200000.0
183,490440.0,91207434000.0
184,408618.0,93388330000.0
185,593340.0,95393464000.0
186,609150.0,159500390000.0
187,545160.0,154133250000.0
188,597840.0,129100680000.0
189,642599.94,154472070000.0
190,601228.0,153067520000.0
191,420375.0,75662230000.0
192,503745.0,99566980000.0
193,486272.0,97320960000.0
194,586908.0,156647520000.0
195,633150.0,128778180000.0
196,551745.0,123173270000.0
197,642600.0,138596040000.0
198,604928.0,103370080000.0
199,553280.0,132177240000.0
200,625968.0,119117365000.0
201,577654.0,89193770000.0
202,582400.0,95848010000.0
203,586530.0,131197500000.0
204,630720.0,93512250000.0
205,509124.0,104499450000.0
206,455487.0,67075570000.0
207,657000.0,159414570000.0
208,641136.0,117279190000.0
209,515591.97,82938690000.0
210,442000.0,27464933000.0
211,550440.0,91076830000.0
212,592280.0,140123640000.0
213,289332.0,40999580000.0
214,535458.0,91104550000.0
215,482856.0,83995705000.0
216,266916.0,43025450000.0
217,395186.0,23186799000.0
218,486780.0,70568575000.0
219,332288.0,19104990000.0
220,437320.0,80243020000.0
221,183040.0,19441877000.0
222,596970.0,92146620000.0
223,607476.0,96237216000.0
224,339648.0,65000067000.0
225,623276.0,137039060000.0
226,325632.0,58236862000.0
227,349375.0,89008300000.0
228,548340.0,45704810000.0
229,620310.0,117075575000.0
230,566016.0,127403475000.0
231,454719.97,86811664000.0
232,535458.0,70815600000.0
233,489048.0,51768730000.0
234,493350.03,75757036000.0
235,639360.0,125350870000.0
236,563470.0,133035040000.0
237,202337.0,345616540.0
238,142272.0,1985138700.0
239,427392.03,20174310000.0
240,553800.0,75209080000.0
241,457746.0,73862080000.0
242,499200.03,107925910000.0
243,633006.0,198800030000.0
244,502920.0,62397424000.0
245,520124.97,122516600000.0
246,544428.0,131451930000.0
247,256074.0,24893567000.0
248,551745.0,89644230000.0
249,525690.0,107461935000.0
250,495625.0,75592970000.0
251,455202.0,109026755000.0
252,631475.0,113148130000.0
253,578550.0,95275440000.0
254,611940.0,139991040000.0
255,580608.0,94300360000.0
256,463550.0,148982050000.0
257,654456.0,151578530000.0
258,551296.0,135482106000.0
259,559910.0,144677980000.0
260,672144.0,124109750000.0
261,655330.0,168246790000.0
262,601120.0,131957910000.0
263,571200.0,84514930000.0
264,631349.94,134585156000.0
265,622440.0,133863150000.0
266,655199.94,129392640000.0
